Sr. no.,question__description,answer,gpt-5.2,,claude-sonnet-4.5,,gemini-2.5-flash,,deepseek-v3.2,,qwen3-coder,,gpt-oss-120b,
11,"Write a function called <code>safe_run(f, x)</code>
<br/> f is a function and x is a value
<br/> f can raise either ValueError or TypeError
<br/> Your function should return <b>OK</b> if no exception is raised.
<br/> Return <b>ValueError</b> if ValueError is raised.
<br/> Return <b>TypeError</b> if TypeError is raised.
<br/>
For example:
<pre>
>>> safe_run(float, 'A')
'ValueError'
>>> def f(x): return x + 2
>>> safe_run(f, '2')
'TypeError'
>>> safe_run(float, '2')
'OK'","
def safe_run(f,x):
    try:
        f(x)
    except ValueError:
      return 'ValueError'
    except TypeError:
      return 'TypeError'
    else:
      return 'OK'


a=input()
count=0
for i in a:
  if (i=='a' or i=='e' or i=='i' or i=='o' or i=='u' or i=='A' or i=='E' or i=='I' or i=='O' or i=='U'):
    count=count+1
print(count)



def func(x):
    if type(x) != int:
        raise TypeError('Expected int')
    elif x < 0:
        raise ValueError('Got negative int')

",J,J,J,J,J,N,J,J,N,N,J,B
12,"Define a function <b>step_fib </b>which takes a number <b> k </b> as parameter and returns a function that takes an integer <b>n</b> as parameter to return first <b>n </b>Fibonacci numbers stepped by <b>k</b> and separated by comma.<br><br>

Example:<br>
<code>
>>> d = step_fib(1)<br>
>>> d(13)<br>
0,1,1,2,3,5,8,13,21,34,55,89,144<br>
>>> d = step_fib(2)<br>
>>> d(13)<br>
0,1,3,8,21,55,144<br>
>>> d = step_fib(3)<br>
>>> d(13)<br>
0,2,8,34,144
</code>","
def step_fib(k):
    def d(n):
        
        if (k==1):
            f1 = 0 
            f2 = 1
            print(""\n"")
            print(f1, end = "" "")
            print(f1+f2,end="" "")
            for i in range(1, n + 1): 
                f3 = f2 + f1
                print(f3, end = "" "")

                f1 = f2
                f2 = f3
        elif k==2:
            f1 = 0 
            f2 = 1 
            print(""\n"")
            print(f1, end = "" "")
            
            for i in range(2, n + 1): 
                f3 = f2 + f1 

                if (i % 2 == 0): 
                    print(f3, end = "" "")

                f1 = f2 
                f2 = f3 

        else:
            f1 = 0 
            f2 = 1 
            print(""\n"")
            print(f1, end = "" "")
            for i in range(2, n + 1): 
                f3 = f2 + f1 

                if (i % 3 == 0): 
                    print(f3, end = "" "")

                f1 = f2 
                f2 = f3 
                return d(13)
",I,F,B,J,J,J,J,J,J,J,I,I
13,"Write a Python function <b>bracketed(s)</b> that takes a string 's' containing parentheses or brackets and returns boolean True if s is well bracketed and bolean False otherwise.

A string with parentheses is well bracketed if all parentheses are matched i.e. every opening bracket has a matching closing bracket and vice versa.
<br><br>
Note that only Round bracket <b>(</b> and <b>)</b> are used in the strings. 
<br><br>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","
open_list = [""["",""{"",""(""] 
close_list = [""]"",""}"","")""] 
  
# Function to check parentheses 
def bracketed(s): 
    stack = [] 
    for i in s: 
        if i in open_list: 
            stack.append(i) 
        elif i in close_list: 
            pos = close_list.index(i) 
            if ((len(stack) > 0) and
                (open_list[pos] == stack[len(stack)-1])): 
                stack.pop() 
            else: 
                return False
    if len(stack) == 0: 
        return True",I,I,J,J,J,J,J,J,J,D,I,I
14,"Write a function <code>cat_dog_count(arg)</code> which accepts one string argument. The argument will be a string containing multiple words that are separated by spaces. <b> (all words will be in lower cases)</b><br>
The function should return a boolean value <code>True</code> if the words ""cat"" and ""dog"" appear the same number of times in the string otherwise it should return <code>False</code>
<br><br>
<b>For Example:</b><br>
<pre>
>>> cat_dog_count( ""ca dog cat do d trip flip cat"" )
>>> False

>>> cat_dog_count( ""dog dog cat cat drip flip come go"")
>>> True
</pre>","def cat_dog_count(arg):
  """"""
  Accepts a string argument and returns True if the words ""cat"" and ""dog"" 
  appear the same number of times in the string, otherwise returns False.
  All words in the input string are assumed to be in lower case and 
  separated by spaces.
  """"""
  words = arg.split(' ') # Split the string into a list of words
  
  cat_count = 0
  dog_count = 0
  
  for word in words:
    if word == ""cat"":
      cat_count += 1
    elif word == ""dog"":
      dog_count += 1
      
  return cat_count == dog_count

# Example Usage (from the problem description):
# print(cat_dog_count(""ca dog cat do d trip flip cat""))  # Expected: False
# print(cat_dog_count(""dog dog cat cat drip flip come go"")) # Expected: True",N,N,N,N,N,N,N,N,N,N,N,N
15,"<script type=""text/javascript"" async
  src=""https://cdn.mathjax.org/mathjax/latest/MathJax.js?config=TeX-MML-AM_CHTML"">
</script>

Write a function <code>compute_derivative(f, h)</code> where <code>f</code> is a function that takes one float argument and <code>h</code> is a floating point number. Return a function (which takes a single floating point argument) that computes the
forward derivative of <code>f</code> at the given point with step size <code>h</code>,   that is,
<br>
<code>compute_derivative(f, h)</code> with
$$\frac{f(x + h) - f(x)} {h}$$","  class Diff(object):
    def compute_derivative(f, h=1E-5, self):
      self.f = f
        self.h = float(h)

class Forward1(Diff):
    def compute_derivative(self, x):
        f, h = self.f, self.h
        return (f(x+h) - f(x))/h

class Backward1(Diff):
    def compute_derivative(self, x):
        f, h = self.f, self.h
        return (f(x) - f(x-h))/h

class Central2(Diff):
    def compute_derivative(self, x):
         f, h = self.f, self.h
        return (f(x+h) - f(x-h))/(2*h)",J,J,I,J,I,I,I,I,I,I,I,I
16,"Write a decorator called <b>counter</b> that keeps track of the number of times a decorated function is called. Write another function called <b>show_counts()</b> which lists all the called functions.
<br/>
<b>For example:</b>
<pre>
<b>Input:</b>
>> @counter
...def sq(x): return x*x
>> @counter
...def g(x): return x+2
>> for i in range(10): g(sq(i))
>> show_counts()
<b>Output</b>
sq: 10
g: 10
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ugYz4NjVbU8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","_cd={}
def counter(func):
  @wraps(func)
  def nf(*ar,**kw):
    if func in _cd:
      _cd[func]+=1
    else:
      _cd[func]=1
      return func(*ar,**kw)
    return nf
def show_counts():
   for f,c in _cd.items():
      printf(f.__nam__,':',c)
# do not change the code below
@wrapes
def show_counts():
   for f,c in _cd.items():
      printf(f.__nam__,':',c)
def counter():
    pass
def show_counts():
    pass
",I,I,F,F,F,J,J,D,I,I,I,I
17,"write a function <b>""sort_list""</b> which will take a list of tuples where each tuple will have two elements first element is a string and second element is the number of occurrences of that string.
<br>
<br>
Sort the list from highest occurrences to lowest occurrences and return list of tuples.
<br>
<br>
If the characters has same no of occurrences then sort the list by alphabetical order of the string.
<br>
<br>
For Example:
<pre>
>>> sort_list([(""b"", 2), (""a"", 2)])
>>> [(""a"", 2), (""b"", 2)]
>>> sort_list([(""c"", 2), (""d"", 3)])
>>> [(""d"", 3), (""c"", 2)]
</pre>","''def sort_list(data_list):
    n=len(data_list)
    for i in range(n):
     
             
        for j in range(0, n-i-1):
     
            if data_list[j][0] < data_list[j+1][0] :
                data_list[j], data_list[j+1] = data_list[j+1], data_list[j]
    return (data_list)
  '''
def sort_list(tup):  
      
    # getting length of list of tuples 
    lst = len(tup)  
    for i in range(0, lst):  
          
        for j in range(0, lst-i-1):  
            if (tup[j][1] > tup[j + 1][1]):  
                temp = tup[j]  
                tup[j]= tup[j + 1]  
                tup[j + 1]= temp  
    return tup ",E,D,E,E,J,J,D,D,D,D,E,D
18,"Define a function called <b>prompt</b>
<br/>
The function should ask the user to enter their
name (no prompt)
</br>
The function should not take any arguments.
<br/>
The function should not return anything.
<br/>
The function should print Hello <name>
<br/>
For example:-
<br/>
<pre>if the user enters Sam, print: Hello Sam</pre>
<br/>","# Call function prompt() on the last line of the codecodecodecode
def largest(f):
  data = []
  for line in f:
    for field in line.split():
      data.append(float(field))
  return max(data)
2.
def largest(f):
  res = -1e20
  for line in f:
    for field in line.split():
      res = max(res, float(field))
  return res

3.
def my_sum(s):
    total = 0
    for word in s.split():
        try:
            total += int(word)
        except ValueError:
           pass
    return total  
4.
def safe_run(f, x):
    try:
       f(x)
    except ValueError:
        return 'ValueError'
    except TypeError:
       return 'TypeError'
    else:
        return 'OK'",J,J,J,J,J,J,J,J,J,J,J,J
19,"Write a python script which will -
<li>Take a <code><b>string</b></code> from the user as <b>input</b></li>
 <li><b>Print</b>  the <b>number of vowels</b> in the input string.
<br/>
<br/>
<b>For example :-</b>
<br/>
<pre>
<ol>
<li>For given input string -
<b>aeiou</b>
</li>
The output should be - 
<b> 5 </b><br/>
<li>For given input string -
<b>AaEeIiOoUu</b>
</li>
The output should be - 
<b> 10 </b>
</pre>
<b>Note :-</b>
<pre>
<i>
<li>While using the input function, please use an <b>empty prompt.</b></li>
<li>The script should be <b>case-insensitive</b></li>
</i>
</pre>","# Count vowels in a different way 
# Using dictionary 
def Check_Vow(string, vowels): 
      
    # casefold has been used to ignore cases 
    string = string.casefold() 
      
    # Forms a dictionary with key as a vowel 
    # and the value as 0 
    count = {}.fromkeys(vowels, 0) 
      
    # To count the vowels 
    for character in string: 
        if character in count: 
            count[character] += 1    
    return count 
      
# Driver Code 
vowels = 'aeiou'
string = ""Geeks for Geeks""
print (Check_Vow(string, vowels)) 
",D,B,B,B,I,B,J,J,J,J,B,B
20,"Write a decorator called <b>debug(f, message=' ')</b> that prints the name of the function before it is called along with an optional message.
<br/>
<b>For example:</b>
<pre>
@debug(message='DEBUG: ')
def my_func(x):
&nbsp;&nbsp;&nbsp;&nbsp;print(x)
<br/>
my_func(1)
<b>Output</b>
DEBUG: my_func
1
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/vNKCnG1amEQ"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","# deco with arguments
from functools import wraps

def debug(funct=None,message=""""):
    def wrapper(funct):
        @wraps(funct)    
        def new_funct(*args,**kw):
            if message:
              print(message,funct.__name__)
            else:
              print(funct.__name__)
            return funct(*args,**kw)
        return new_funct
    if funct:
        return wrapper(funct)
    else : 
        return wrapper 
# do not change the code below

@debug(message='DEBUG: ')
def my_func(x):
    print(x)
f = input()
my_func(f)",B,B,C,E,I,J,I,I,I,I,B,B
21,"Define a python function <code>my_gcd(a, b)</code> which takes two numbers as arguments and returns the GCD of the two numbers. Assume that numbers will always be positive integers.

<br>
Sample Input: <code>(12, 20)</code> Expected Output: <code>4</code>

<br><br>
Note: You do not have to print anything, neither you have to make the function call. Just define the function to perform the required operation & click on check answer. Also, note that the function name should exactly be as mentioned above.","# define a function
def computemy_gcd(x, y):

# choose the smaller number
    if x > y:
        smaller = y
    else:
        smaller = x
    for i in range(1, smaller+1):
        if((x % i == 0) and (y % i == 0)):
            gcd = i
            
    return gcd

num1 = 54 
num2 = 24

# take input from the user
# num1 = int(input(""Enter first number: ""))
# num2 = int(input(""Enter second number: ""))

print(""The my_gcd of"", num1,""and"", num2,""is"", computemy_gcd(num1, num2))",I,I,I,I,I,I,I,I,I,I,I,I
22,"Shreya has participated in a puzzle round in her college. </br>
She, along with other participants have been asked to pick up a random string s, consisting of only English lowercase alphabets.</br>  After she selected a string, the organizer announced that each participant can select atmost 2 alphabets and remove all of its occurrence from the selected string. After reduction, if the string's length is <b>less than half</b>  of its original length, the person who selected that string, wins. Given the String Shreya selected, find out if she won.</br></br>

Write a function called <code>puzzle(s)</code> that accepts a string and returns boolean True if Shreya has won or boolean False if Shreya has lost.
<br><br>

<p> INPUT</p>
# The only line of Input consists of a string, s that Shreya selected. </br></br>
puzzle(ppkkskh)
<br><br>
<p> OUTPUT</p>
True</br>
</br></br>
<p>CONSTRAINTS</p>
1<=len(s)<=100
<br>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","# Python 3program to check if a 
# string is of the form a^nb^n. 

# Returns true str is of the 
# form a^nb^n. 


def isAnBn(str): 

        n = len(str) 

        # After this loop 'i' has 
        # count of a's 
        for i in range(n): 
                if (str[i] != 'a'): 
                        break

        # Since counts of a's and b's should 
        # be equal, a should apear exactly 
        # n/2 times 
        if (i * 2 != n): 
                return False

        # Rest of the characters must 
        # be all 'b' 
        for j in range(i, n): 
                if (str[j] != 'b'): 
                        return False

        return True


# Driver code 
if __name__ == ""__main__"": 
        str = ""abab""
        print(""Yes"") if isAnBn(str) else print(""No"") 

# This code is contributed 
# by ChitraNayal 
",J,J,J,J,J,J,J,J,N,J,J,J
23,"<script type=""text/javascript"" async
  src=""https://cdn.mathjax.org/mathjax/latest/MathJax.js?config=TeX-MML-AM_CHTML"">
</script>

Write a function <b>compute_integral(f,a,b, n)</b>  to compute the integral of a given
function. The arguments to your function are - <br/>

- A function `f` that takes on argument that needs to be integrated
- `a` and `b`, the limits of integration (both float, `a < b`)
- `n` is a positive integer denoting the number of elements into which
  the interval [a, b] should be subdivided into.
<br/>

The integral can be approximated by summing the function value on the left
part of each subinterval and scaling it appropriately. The
approximation is provided in the formula.

<img src =""https://cdn.rawgit.com/maheshgudi/image/master/drawing.svg"">","def compute_integral(f,a,b,n):
  summa = 0
  for i in (1,n):
    k = float(a) + float(float(b-a)/float(i))
    summa = summa + f(k)
  integ = (float(summa)*float(b-a))/float(n)
  return integ
 
    ",G,G,G,G,G,G,D,D,G,G,G,G
24,"Create an <code>Animal</code>
class with <code>name</code> (str) and <code>weight</code> (float)
attribute. Allow a user to perform rich comparisons of animals based on their weight (it should support all comparisons)<br><br>
<b>For exmaple: </b><pre>
<b>Input: </b><br>
cat = Animal('cat', 5)
dog = Animal('dog', 10)
dog > cat<br>
<b>Output: </b><br>
True
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/w2JDnRC2SZI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","class Animal:
    def __init__(self, name, weight = 0.0):
        self.name = name
        self.weight = weight
    def __lt__(self, other):
        return self.weight < other.weight
    def __gt__(self, other):
        return self.weight > other.weight
    def __le__(self, other):
        return self.weight <= other.weight
    def __ge__(self, other):
        return self.weight >= other.weight
    def __eq__(self, other):
        return self.weight == other.weight
    def __ne__(self, other):
        return self.weight != other.weight",N,N,N,N,N,N,N,N,N,N,N,N
25,"Create a <code>Zoo</code> class which can contain animals. The Zoo should behave like a container.<br><br>
<b>For example: </b>
<pre>
<b>Input: </b><br>
a = Animal('cat', 5)
b = Animal('dog', 10)
zoo = Zoo(a, b)
len(zoo)
a in zoo<br>
<b>Output: </b><br>
2
True
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/lJyY8cTPCag"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","class Animal:
    def __init__(self, name, weight=0.0):
        self.name = name
        self.weight = weight
        class Zoo:
          def _init_(self, *animals):
            self.animals = list(animals)
          def _len_(self):
            return len(self.animals)
          def _contains_(self,item):
            return item in self.animals
          def _getitem_(self,key):
            return self.animals[key]
          def _iter_(self):
            return self.animals",I,I,J,I,J,I,I,J,I,D,I,I
26,"Create an <code>ArithmeticProgression</code> class which takes two
components a and d,  where a is the first term of the progression and d is the common difference:
<br><br>
The following operations should be supported:
<br>
 - Instantiate ArithmeticProgression with components as positional arguments <code>ArithmeticProgression(a, d)</code>
<br><br>
 - Instantiate a ArithmeticProgression with default a=1 and d=1, i.e. one should be able
   to instantiate the ArithmeticProgression as <code>ap = ArithmeticProgression()</code> or <code>ap =
   ArithmeticProgression(a=3)</code>.
<br><br>
 - class should have methods <br>
<code>
get(n)
</code>
this method will give the nth term in Progression
<br>
Example:
<code>
For a=1, d=2
object.get(3) should return 5
</code>
<br>
<code>
sum(n)
</code>
this method will give the sum of n terms in Progression
<br>
Example:
<code>
For a=1, d=2
object.sum(3) should return 9
</code>","class ap:
    def calculate1(a,d,n): 
          curr_term=a
          list1=[]
          for i in range(1,n+1):
              list1.append(curr_term)
              curr_term =curr_term + d  
          return list1
        
    def get(n):
        return list1[n]
    def sum(n):
        for i in range(1,n):
            sum = sum + list1[i]
        return sum    
              
obj = ap()
a = 2    
d = 1     
n = 5    
print(obj.calculate1(a,d,n))
print(obj.get(n))
print(obj.sum(n))
    
    
",I,I,J,J,J,J,J,J,J,J,I,I
